year,home team,prev year wins,prev year WS,prev year division
2013,Brewers,83,0,
2013,Pirates,79,0,
2014,Cubs,66,0,
2014,Reds,90,0,
2014,Astros,51,0,
2014,Brewers,75,0,
2014,Pirates,94,0,
2015,Cubs,73,0,
2015,Reds,76,0,
2015,Astros,70,0,
2015,Brewers,82,0,
2015,Pirates,88,0,
2016,Cubs,97,0,
2016,Reds,64,0,
2016,Astros,86,0,
2016,Brewers,68,0,
2016,Pirates,98,0,
2005,Cardinals,105,0,
2006,Cardinals,100,0,
2007,Cardinals,83,1,
2008,Cardinals,78,0,
2009,Cardinals,86,0,
2010,Cardinals,91,0,
2011,Cardinals,86,0,
2012,Cardinals,90,1,
2013,Cardinals,88,0,
2014,Cardinals,97,0,
2015,Cardinals,90,0,
2016,Cardinals,100,0,
2005,Indians,80,0,
2005,Tigers,72,0,
2005,Royals,58,0,
2005,Twins,92,0,
2005,White Sox,83,0,
2006,Indians,93,0,
2006,Tigers,71,0,
2006,Royals,56,0,
2006,Twins,83,0,
2006,White Sox,99,1,
2007,Indians,93,0,
2007,Tigers,95,0,
2007,Royals,62,0,
2007,Twins,96,0,
2007,White Sox,90,0,
2008,Indians,96,0,
2008,Tigers,88,0,
2008,Royals,69,0,
2008,Twins,79,0,
2008,White Sox,72,0,
2009,Indians,81,0,
2009,Tigers,74,0,
2009,Royals,75,0,
2009,Twins,88,0,
2009,White Sox,89,0,
2010,Indians,65,0,
2010,Tigers,86,0,
2010,Royals,65,0,
2010,Twins,87,0,
2010,White Sox,79,0,
2011,Indians,69,0,
2011,Tigers,81,0,
2011,Royals,67,0,
2011,Twins,94,0,
2011,White Sox,88,0,
2012,Indians,80,0,
2012,Tigers,95,0,
2012,Royals,71,0,
2012,Twins,63,0,
2012,White Sox,79,0,
2013,Indians,68,0,
2013,Tigers,88,0,
2013,Royals,72,0,
2013,Twins,66,0,
2013,White Sox,85,0,
2014,Indians,92,0,
2014,Tigers,93,0,
2014,Royals,86,0,
2014,Twins,66,0,
2014,White Sox,63,0,
2015,Indians,85,0,
2015,Tigers,90,0,
2015,Royals,89,0,
2015,Twins,70,0,
2015,White Sox,73,0,
2016,Indians,81,0,
2016,Tigers,74,0,
2016,Royals,95,1,
2016,Twins,83,0,
2016,White Sox,76,0,
2005,Diamondbacks,51,0,
2005,Rockies,68,0,
2005,Dodgers,93,0,
2005,Padres,87,0,
2005,Giants,91,0,
2006,Diamondbacks,77,0,
2006,Rockies,67,0,
2006,Dodgers,87,0,
2006,Padres,82,0,
2006,Giants,75,0,
2007,Diamondbacks,76,0,
2007,Rockies,85,0,
2007,Dodgers,88,0,
2007,Padres,89,0,
2007,Giants,73,0,
2008,Diamondbacks,90,0,
2008,Rockies,74,0,
2008,Dodgers,82,0,
2008,Padres,89,0,
2008,Giants,71,0,
2009,Diamondbacks,82,0,
2009,Rockies,74,0,
2009,Dodgers,84,0,
2009,Padres,63,0,
2009,Giants,72,0,
2010,Diamondbacks,70,0,
2010,Rockies,92,0,
2010,Dodgers,95,0,
2010,Padres,75,0,
2010,Giants,88,0,
2011,Diamondbacks,65,0,
2011,Rockies,83,0,
2011,Dodgers,80,0,
2011,Padres,90,0,
2011,Giants,92,1,
2012,Diamondbacks,94,0,
2012,Rockies,73,0,
2012,Dodgers,82,0,
2012,Padres,71,0,
2012,Giants,92,0,
2013,Diamondbacks,81,0,
2013,Rockies,64,0,
2013,Dodgers,86,0,
2013,Padres,76,0,
2013,Giants,94,1,
2014,Diamondbacks,81,0,
2014,Rockies,74,0,
2014,Dodgers,92,0,
2014,Padres,76,0,
2014,Giants,76,0,
2015,Diamondbacks,64,0,
2015,Rockies,66,0,
2015,Dodgers,94,0,
2015,Padres,77,0,
2015,Giants,88,1,
2016,Diamondbacks,79,0,
2016,Rockies,68,0,
2016,Dodgers,92,0,
2016,Padres,74,0,
2016,Giants,84,0,
2005,Angels,92,0,
2005,Athletics,91,0,
2005,Mariners,99,0,
2005,Rangers,89,0,
2006,Angels,95,0,
2006,Athletics,88,0,
2006,Mariners,69,0,
2006,Rangers,79,0,
2007,Angels,89,0,
2007,Athletics,93,0,
2007,Mariners,78,0,
2007,Rangers,80,0,
2008,Angels,94,0,
2008,Athletics,76,0,
2008,Mariners,88,0,
2008,Rangers,75,0,
2009,Angels,100,0,
2009,Athletics,75,0,
2009,Mariners,61,0,
2009,Rangers,79,0,
2010,Angels,97,0,
2010,Athletics,75,0,
2010,Mariners,85,0,
2010,Rangers,87,0,
2011,Angels,80,0,
2011,Athletics,81,0,
2011,Mariners,61,0,
2011,Rangers,90,0,
2012,Angels,86,0,
2012,Athletics,74,0,
2012,Mariners,67,0,
2012,Rangers,96,0,
2013,Angels,89,0,
2013,Athletics,94,0,
2013,Mariners,75,0,
2013,Rangers,93,0,
2014,Angels,78,0,
2014,Athletics,96,0,
2014,Mariners,71,0,
2014,Rangers,91,0,
2015,Angels,98,0,
2015,Athletics,88,0,
2015,Mariners,87,0,
2015,Rangers,67,0,
2016,Angels,85,0,
2016,Athletics,68,0,
2016,Mariners,76,0,
2016,Rangers,88,0,
