index,date,number_of_game,day_of_week,v_name,v_league,v_game_number,h_name,h_league,h_game_number,v_score,h_score,length_outs,day_night,completion,forefeit,protest,park_id,attendance,,,
142780,20050406,0,Wed,ATL,NL,2,FLO,NL,2,2,1,78,N,,,,MIA01,20317,,,
142781,20050406,0,Wed,SLN,NL,2,HOU,NL,2,1,4,51,D,,,,HOU03,28496,,,
142782,20050406,0,Wed,WAS,NL,2,PHI,NL,2,7,3,54,N,,,,PHI13,23435,,,
142783,20050406,0,Wed,MIL,NL,2,PIT,NL,2,10,2,54,D,,,,PIT08,12077,,,
142784,20050406,0,Wed,LAN,NL,2,SFN,NL,2,10,4,54,N,,,,SFO03,42433,,,
142785,20050407,0,Thu,TEX,AL,3,ANA,AL,3,6,7,52,N,,,,ANA01,35169,,,
142786,20050407,0,Thu,OAK,AL,3,BAL,AL,3,5,1,54,N,,,,BAL12,16395,,,
142787,20050407,0,Thu,CLE,AL,3,CHA,AL,3,11,5,66,D,,,,CHI12,10800,,,
142788,20050407,0,Thu,KCA,AL,3,DET,AL,3,3,7,51,D,,,,DET05,10463,,,
142789,20050407,0,Thu,NYN,NL,3,CIN,NL,3,1,6,51,D,,,,CIN09,16048,,,
142790,20050407,0,Thu,ATL,NL,3,FLO,NL,3,4,2,54,N,,,,MIA01,19108,,,
142791,20050407,0,Thu,WAS,NL,3,PHI,NL,3,5,4,60,D,,,,PHI13,21693,,,
142792,20050407,0,Thu,PIT,NL,3,SDN,NL,3,0,1,70,N,,,,SAN02,43538,,,
142793,20050407,0,Thu,LAN,NL,3,SFN,NL,3,6,0,54,N,,,,SFO03,40536,,,
142794,20050408,0,Fri,KCA,AL,4,ANA,AL,4,6,2,54,N,,,,ANA01,39167,,,
142795,20050408,0,Fri,CLE,AL,4,DET,AL,4,4,3,54,N,,,,DET05,23294,,,
142796,20050408,0,Fri,CHA,AL,4,MIN,AL,4,5,1,54,N,,,,MIN03,48764,,,
142797,20050408,0,Fri,BAL,AL,4,NYA,AL,4,12,5,54,N,,,,NYC16,43128,,,
142798,20050408,0,Fri,TEX,AL,4,SEA,AL,4,6,9,51,N,,,,SEA03,29652,,,
142799,20050408,0,Fri,OAK,AL,4,TBA,AL,4,2,3,57,N,,,,STP01,10223,,,
142800,20050408,0,Fri,BOS,AL,4,TOR,AL,4,6,5,54,N,,,,TOR02,50560,,,
142801,20050408,0,Fri,LAN,NL,4,ARI,NL,4,8,7,54,N,,,,PHO01,25813,,,
142802,20050408,0,Fri,NYN,NL,4,ATL,NL,4,1,3,51,N,,,,ATL02,50939,,,
142803,20050408,0,Fri,MIL,NL,3,CHN,NL,4,6,3,72,D,,,,CHI11,39892,,,
142804,20050408,0,Fri,WAS,NL,4,FLO,NL,4,0,9,51,N,,,,MIA01,19327,,,
142805,20050408,0,Fri,CIN,NL,4,HOU,NL,3,2,3,51,N,,,,HOU03,36382,,,
142806,20050408,0,Fri,PIT,NL,4,SDN,NL,4,3,2,54,N,,,,SAN02,39791,,,
142807,20050408,0,Fri,COL,NL,3,SFN,NL,4,8,10,51,N,,,,SFO03,37015,,,
142808,20050408,0,Fri,PHI,NL,4,SLN,NL,3,5,6,51,D,,,,STL09,50074,,,
142809,20050409,0,Sat,KCA,AL,5,ANA,AL,5,3,8,51,N,,,,ANA01,42007,,,
142810,20050409,0,Sat,CLE,AL,5,DET,AL,5,1,11,51,D,,,,DET05,26037,,,
142811,20050409,0,Sat,CHA,AL,5,MIN,AL,5,8,5,54,N,,,,MIN03,41533,,,
142812,20050409,0,Sat,BAL,AL,5,NYA,AL,5,5,8,51,D,,,,NYC16,50275,,,
142813,20050409,0,Sat,TEX,AL,5,SEA,AL,5,7,6,54,D,,,,SEA03,31501,,,
142814,20050409,0,Sat,OAK,AL,5,TBA,AL,5,2,11,51,N,,,,STP01,13536,,,
142815,20050409,0,Sat,BOS,AL,5,TOR,AL,5,5,12,51,D,,,,TOR02,28765,,,
142816,20050409,0,Sat,LAN,NL,5,ARI,NL,5,12,10,66,N,,,,PHO01,30753,,,
142817,20050409,0,Sat,NYN,NL,5,ATL,NL,5,3,6,51,N,,,,ATL02,40604,,,
142818,20050409,0,Sat,MIL,NL,4,CHN,NL,5,0,4,51,D,,,,CHI11,38743,,,
142819,20050409,0,Sat,WAS,NL,5,FLO,NL,5,3,2,60,N,,,,MIA01,30739,,,
142820,20050409,0,Sat,CIN,NL,5,HOU,NL,4,3,4,51,N,,,,HOU03,34502,,,
142821,20050409,0,Sat,PIT,NL,5,SDN,NL,5,3,11,51,N,,,,SAN02,37939,,,
142822,20050409,0,Sat,COL,NL,4,SFN,NL,5,2,4,51,D,,,,SFO03,37993,,,
142823,20050409,0,Sat,PHI,NL,5,SLN,NL,4,10,4,54,D,,,,STL09,39242,,,
142824,20050410,0,Sun,KCA,AL,6,ANA,AL,6,8,3,54,D,,,,ANA01,40689,,,
142825,20050410,0,Sun,CLE,AL,6,DET,AL,6,7,6,54,D,,,,DET05,25758,,,
142826,20050410,0,Sun,CHA,AL,6,MIN,AL,6,2,5,51,N,,,,MIN03,28089,,,
142827,20050410,0,Sun,BAL,AL,6,NYA,AL,6,7,2,54,D,,,,NYC16,46797,,,
142828,20050410,0,Sun,TEX,AL,6,SEA,AL,6,7,6,54,D,,,,SEA03,30434,,,
142829,20050410,0,Sun,OAK,AL,6,TBA,AL,6,6,1,54,D,,,,STP01,12174,,,
142830,20050410,0,Sun,BOS,AL,6,TOR,AL,6,3,4,52,D,,,,TOR02,22845,,,
142831,20050410,0,Sun,LAN,NL,6,ARI,NL,6,4,5,51,D,,,,PHO01,29796,,,
142832,20050410,0,Sun,NYN,NL,6,ATL,NL,6,6,1,54,D,,,,ATL02,36601,,,
142833,20050410,0,Sun,MIL,NL,5,CHN,NL,6,5,6,70,D,,,,CHI11,39076,,,
142834,20050410,0,Sun,WAS,NL,6,FLO,NL,6,0,8,51,D,,,,MIA01,25089,,,
142835,20050410,0,Sun,CIN,NL,6,HOU,NL,5,2,5,51,D,,,,HOU03,31832,,,
142836,20050410,0,Sun,PIT,NL,6,SDN,NL,6,6,3,54,D,,,,SAN02,33521,,,
142837,20050410,0,Sun,COL,NL,5,SFN,NL,6,4,11,51,D,,,,SFO03,38588,,,
142838,20050410,0,Sun,PHI,NL,6,SLN,NL,5,13,4,54,D,,,,STL09,37971,,,
142839,20050411,0,Mon,NYA,AL,7,BOS,AL,7,1,8,51,D,,,,BOS07,33702,,,
142840,20050411,0,Mon,CHA,AL,7,CLE,AL,7,2,1,54,D,,,,CLE08,42461,,,
142841,20050411,0,Mon,SEA,AL,7,KCA,AL,7,8,2,54,D,,,,KAN06,41788,,,
142842,20050411,0,Mon,TOR,AL,7,OAK,AL,7,10,3,54,N,,,,OAK01,44815,,,
142843,20050411,0,Mon,ANA,AL,7,TEX,AL,7,7,6,60,D,,,,ARL02,50054,,,
142844,20050411,0,Mon,COL,NL,6,ARI,NL,7,0,2,51,N,,,,PHO01,18742,,,
142845,20050411,0,Mon,WAS,NL,7,ATL,NL,7,2,11,51,N,,,,ATL02,16584,,,
142846,20050411,0,Mon,SDN,NL,7,CHN,NL,7,1,0,54,D,,,,CHI11,36791,,,
142847,20050411,0,Mon,PHI,NL,7,FLO,NL,7,4,1,54,N,,,,MIA01,11416,,,
142848,20050411,0,Mon,PIT,NL,7,MIL,NL,6,2,6,51,D,,,,MIL06,42458,,,
142849,20050411,0,Mon,HOU,NL,6,NYN,NL,7,4,8,51,D,,,,NYC17,53663,,,
142850,20050412,0,Tue,DET,AL,7,MIN,AL,7,4,5,52,N,,,,MIN03,15071,,,
142851,20050412,0,Tue,TOR,AL,8,OAK,AL,8,5,2,54,N,,,,OAK01,10106,,,
142852,20050412,0,Tue,BAL,AL,7,TBA,AL,7,7,6,54,N,,,,STP01,10563,,,
142853,20050412,0,Tue,ANA,AL,8,TEX,AL,8,13,8,54,N,,,,ARL02,23061,,,
142854,20050412,0,Tue,COL,NL,7,ARI,NL,8,2,4,51,N,,,,PHO01,20725,,,
142855,20050412,0,Tue,WAS,NL,8,ATL,NL,8,4,3,54,N,,,,ATL02,20122,,,
142856,20050412,0,Tue,PHI,NL,8,FLO,NL,8,2,8,51,N,,,,MIA01,15129,,,
142857,20050412,0,Tue,SFN,NL,7,LAN,NL,7,8,9,53,D,,,,LOS03,55892,,,
142858,20050412,0,Tue,PIT,NL,8,MIL,NL,7,4,2,54,N,,,,MIL06,10927,,,
142859,20050412,0,Tue,CIN,NL,7,SLN,NL,6,1,5,51,N,,,,STL09,33617,,,
142860,20050413,0,Wed,NYA,AL,8,BOS,AL,8,5,2,54,N,,,,BOS07,35115,,,
142861,20050413,0,Wed,CHA,AL,8,CLE,AL,8,5,4,60,N,,,,CLE08,14410,,,
142862,20050413,0,Wed,SEA,AL,8,KCA,AL,8,2,1,54,D,,,,KAN06,10577,,,
142863,20050413,0,Wed,DET,AL,8,MIN,AL,8,4,8,51,N,,,,MIN03,16067,,,
142864,20050413,0,Wed,TOR,AL,9,OAK,AL,9,3,6,51,N,,,,OAK01,15860,,,
142865,20050413,0,Wed,BAL,AL,8,TBA,AL,8,5,1,54,N,,,,STP01,9226,,,
142866,20050413,0,Wed,ANA,AL,9,TEX,AL,9,5,7,51,N,,,,ARL02,21625,,,
142867,20050413,0,Wed,COL,NL,8,ARI,NL,9,2,5,51,D,,,,PHO01,19272,,,
142868,20050413,0,Wed,WAS,NL,9,ATL,NL,9,11,4,54,D,,,,ATL02,19093,,,
142869,20050413,1,Wed,SDN,NL,8,CHN,NL,8,8,3,54,D,,,,CHI11,0,,,
142870,20050413,2,Wed,SDN,NL,9,CHN,NL,9,3,8,51,D,,,,CHI11,39230,,,
142871,20050413,0,Wed,PHI,NL,9,FLO,NL,9,0,4,51,D,,,,MIA01,14427,,,
142872,20050413,0,Wed,SFN,NL,8,LAN,NL,8,1,4,51,N,,,,LOS03,46514,,,
142873,20050413,0,Wed,PIT,NL,9,MIL,NL,8,2,6,51,D,,,,MIL06,11021,,,
142874,20050413,0,Wed,HOU,NL,7,NYN,NL,8,0,1,64,N,,,,NYC17,22431,,,
142875,20050413,0,Wed,CIN,NL,8,SLN,NL,7,6,5,54,D,,,,STL09,28772,,,
142876,20050414,0,Thu,NYA,AL,9,BOS,AL,9,5,8,51,N,,,,BOS07,35251,,,
142877,20050414,0,Thu,CHA,AL,9,CLE,AL,9,6,8,51,N,,,,CLE08,12470,,,
142878,20050414,0,Thu,SEA,AL,9,KCA,AL,9,10,2,54,D,,,,KAN06,10212,,,
142879,20050414,0,Thu,DET,AL,9,MIN,AL,9,4,10,51,N,,,,MIN03,14344,,,
142880,20050414,0,Thu,BAL,AL,9,TBA,AL,9,7,12,51,N,,,,STP01,9797,,,
142881,20050414,0,Thu,TOR,AL,10,TEX,AL,10,2,1,54,N,,,,ARL02,19366,,,
142882,20050414,0,Thu,HOU,NL,8,NYN,NL,9,3,4,51,N,,,,NYC17,17214,,,
142883,20050414,0,Thu,ARI,NL,10,WAS,NL,10,3,5,51,N,,,,WAS10,45596,,,
142884,20050415,0,Fri,NYA,AL,10,BAL,AL,10,1,8,51,N,,,,BAL12,48061,,,
142885,20050415,0,Fri,TBA,AL,10,BOS,AL,10,0,10,51,N,,,,BOS07,35023,,,
142886,20050415,0,Fri,SEA,AL,10,CHA,AL,10,4,6,51,N,,,,CHI12,16749,,,
142887,20050415,0,Fri,MIN,AL,10,CLE,AL,10,3,2,54,N,,,,CLE08,15360,,,
142888,20050415,0,Fri,DET,AL,10,KCA,AL,10,5,6,51,N,,,,KAN06,29720,,,
142889,20050415,0,Fri,ANA,AL,10,OAK,AL,10,6,1,54,N,,,,OAK01,23283,,,
142890,20050415,0,Fri,TOR,AL,11,TEX,AL,11,2,4,51,N,,,,ARL02,30453,,,
142891,20050415,0,Fri,HOU,NL,9,CIN,NL,9,11,2,54,N,,,,CIN09,31740,,,
142892,20050415,0,Fri,SFN,NL,9,COL,NL,9,13,6,54,N,,,,DEN02,22551,,,
142893,20050415,0,Fri,SDN,NL,10,LAN,NL,9,0,4,51,N,,,,LOS03,51816,,,
142894,20050415,0,Fri,SLN,NL,8,MIL,NL,9,3,0,54,N,,,,MIL06,22676,,,
142895,20050415,0,Fri,FLO,NL,10,NYN,NL,10,0,4,51,N,,,,NYC17,49448,,,
142896,20050415,0,Fri,ATL,NL,10,PHI,NL,10,11,4,54,N,,,,PHI13,31408,,,
142897,20050415,0,Fri,CHN,NL,10,PIT,NL,10,5,8,51,N,,,,PIT08,29256,,,
142898,20050416,0,Sat,NYA,AL,11,BAL,AL,11,6,7,51,D,,,,BAL12,48598,,,
142899,20050416,0,Sat,TBA,AL,11,BOS,AL,11,2,6,51,N,,,,BOS07,35106,,,
142900,20050416,0,Sat,SEA,AL,11,CHA,AL,11,1,2,51,D,,,,CHI12,25931,,,
142901,20050416,0,Sat,MIN,AL,11,CLE,AL,11,6,4,54,D,,,,CLE08,18699,,,
142902,20050416,0,Sat,DET,AL,11,KCA,AL,11,7,1,54,D,,,,KAN06,22881,,,
142903,20050416,0,Sat,ANA,AL,11,OAK,AL,11,0,1,57,D,,,,OAK01,25280,,,
142904,20050416,0,Sat,TOR,AL,12,TEX,AL,12,8,0,54,N,,,,ARL02,40499,,,
142905,20050416,0,Sat,HOU,NL,10,CIN,NL,10,2,3,51,D,,,,CIN09,26926,,,
142906,20050416,0,Sat,SFN,NL,10,COL,NL,10,4,5,51,N,,,,DEN02,23439,,,
142907,20050416,0,Sat,SDN,NL,11,LAN,NL,10,3,8,51,N,,,,LOS03,54704,,,
142908,20050416,0,Sat,SLN,NL,9,MIL,NL,10,5,3,54,D,,,,MIL06,30732,,,
142909,20050416,0,Sat,FLO,NL,11,NYN,NL,11,3,4,53,D,,,,NYC17,55351,,,
142910,20050416,0,Sat,ATL,NL,11,PHI,NL,11,1,2,51,D,,,,PHI13,36820,,,
142911,20050416,0,Sat,CHN,NL,11,PIT,NL,11,4,3,54,N,,,,PIT08,34783,,,
142912,20050416,0,Sat,ARI,NL,11,WAS,NL,11,3,9,51,N,,,,WAS10,34943,,,
142913,20050417,0,Sun,NYA,AL,12,BAL,AL,12,4,8,51,D,,,,BAL12,47883,,,
142914,20050417,0,Sun,TBA,AL,12,BOS,AL,12,1,3,51,D,,,,BOS07,35232,,,
142915,20050417,0,Sun,SEA,AL,12,CHA,AL,12,5,4,54,D,,,,CHI12,23324,,,
142916,20050417,0,Sun,MIN,AL,12,CLE,AL,12,1,2,51,D,,,,CLE08,19021,,,
142917,20050417,0,Sun,DET,AL,12,KCA,AL,12,6,1,54,D,,,,KAN06,14904,,,
142918,20050417,0,Sun,ANA,AL,12,OAK,AL,12,6,7,51,D,,,,OAK01,36291,,,
142919,20050417,0,Sun,TOR,AL,13,TEX,AL,13,5,6,51,D,,,,ARL02,31310,,,
142920,20050417,0,Sun,HOU,NL,11,CIN,NL,11,5,6,51,D,,,,CIN09,25762,,,
142921,20050417,0,Sun,SFN,NL,11,COL,NL,11,8,6,54,D,,,,DEN02,27107,,,
142922,20050417,0,Sun,SDN,NL,12,LAN,NL,11,0,6,51,D,,,,LOS03,53402,,,
142923,20050417,0,Sun,SLN,NL,10,MIL,NL,11,3,2,54,D,,,,MIL06,21144,,,
142924,20050417,0,Sun,FLO,NL,12,NYN,NL,12,5,2,54,D,,,,NYC17,55266,,,
142925,20050417,0,Sun,ATL,NL,12,PHI,NL,12,1,2,57,N,,,,PHI13,32008,,,
142926,20050417,0,Sun,CHN,NL,12,PIT,NL,12,4,2,54,D,,,,PIT08,20416,,,
142927,20050417,0,Sun,ARI,NL,12,WAS,NL,12,3,7,51,D,,,,WAS10,35463,,,
142928,20050418,0,Mon,SEA,AL,13,ANA,AL,13,1,6,51,N,,,,ANA01,39638,,,
142929,20050418,0,Mon,DET,AL,13,BAL,AL,13,13,3,54,N,,,,BAL12,16301,,,
142930,20050418,0,Mon,TOR,AL,14,BOS,AL,13,7,12,51,D,,,,BOS07,35243,,,
142931,20050418,0,Mon,MIN,AL,13,CHA,AL,13,4,5,51,N,,,,CHI12,27018,,,
142932,20050418,0,Mon,CLE,AL,13,KCA,AL,13,5,1,54,N,,,,KAN06,11115,,,
142933,20050418,0,Mon,TBA,AL,13,NYA,AL,13,8,19,51,N,,,,NYC16,35282,,,
142934,20050418,0,Mon,OAK,AL,13,TEX,AL,14,8,5,54,N,,,,ARL02,20939,,,
142935,20050418,0,Mon,CHN,NL,13,CIN,NL,12,6,7,51,N,,,,CIN09,25349,,,
142936,20050418,0,Mon,ARI,NL,13,COL,NL,12,5,3,54,N,,,,DEN02,18563,,,
142937,20050418,0,Mon,ATL,NL,13,HOU,NL,12,1,0,72,N,,,,HOU03,31672,,,
142938,20050418,0,Mon,LAN,NL,12,MIL,NL,12,7,3,54,N,,,,MIL06,11728,,,
142939,20050418,0,Mon,NYN,NL,13,PHI,NL,13,4,5,51,N,,,,PHI13,25236,,,
142940,20050418,0,Mon,SLN,NL,11,PIT,NL,13,11,1,54,N,,,,PIT08,11220,,,
142941,20050418,0,Mon,SFN,NL,12,SDN,NL,13,2,7,51,N,,,,SAN02,29523,,,
142942,20050418,0,Mon,FLO,NL,13,WAS,NL,13,9,4,54,N,,,,WAS10,24003,,,
142943,20050419,0,Tue,SEA,AL,14,ANA,AL,14,5,3,54,D,,,,ANA01,38667,,,
142944,20050419,0,Tue,DET,AL,14,BAL,AL,14,4,8,51,N,,,,BAL12,18009,,,
142945,20050419,0,Tue,TOR,AL,15,BOS,AL,14,4,3,54,N,,,,BOS07,35598,,,
142946,20050419,0,Tue,MIN,AL,14,CHA,AL,14,1,3,51,N,,,,CHI12,18310,,,
142947,20050419,0,Tue,CLE,AL,14,KCA,AL,14,5,6,53,D,,,,KAN06,11884,,,
142948,20050419,0,Tue,TBA,AL,14,NYA,AL,14,6,2,54,N,,,,NYC16,45802,,,
142949,20050419,0,Tue,OAK,AL,14,TEX,AL,15,0,3,51,D,,,,ARL02,22146,,,
142950,20050419,0,Tue,CHN,NL,14,CIN,NL,13,7,1,54,N,,,,CIN09,25373,,,
142951,20050419,0,Tue,ARI,NL,14,COL,NL,13,1,8,51,D,,,,DEN02,18235,,,
142952,20050419,0,Tue,ATL,NL,14,HOU,NL,13,3,5,51,N,,,,HOU03,32146,,,
142953,20050419,0,Tue,LAN,NL,13,MIL,NL,13,8,6,60,D,,,,MIL06,11029,,,
142954,20050419,0,Tue,NYN,NL,14,PHI,NL,14,16,4,54,N,,,,PHI13,28063,,,
142955,20050419,0,Tue,SLN,NL,12,PIT,NL,14,7,1,54,N,,,,PIT08,12285,,,
142956,20050419,0,Tue,SFN,NL,13,SDN,NL,14,2,5,51,N,,,,SAN02,29544,,,
142957,20050419,0,Tue,FLO,NL,14,WAS,NL,14,6,3,54,N,,,,WAS10,25990,,,
142958,20050420,0,Wed,CLE,AL,15,ANA,AL,15,0,2,51,N,,,,ANA01,42531,,,
142959,20050420,0,Wed,BOS,AL,15,BAL,AL,15,8,0,54,N,,,,BAL12,36478,,,
142960,20050420,0,Wed,CHA,AL,15,DET,AL,15,9,1,54,N,,,,DET05,16887,,,
142961,20050420,0,Wed,KCA,AL,15,MIN,AL,15,4,5,51,N,,,,MIN03,24153,,,
142962,20050420,0,Wed,OAK,AL,15,SEA,AL,15,6,7,51,N,,,,SEA03,24841,,,
142963,20050420,0,Wed,TEX,AL,16,TBA,AL,15,12,10,54,N,,,,STP01,8816,,,
142964,20050420,0,Wed,NYA,AL,15,TOR,AL,16,11,2,54,N,,,,TOR02,22838,,,
142965,20050420,0,Wed,PIT,NL,15,CIN,NL,14,4,6,51,N,,,,CIN09,16857,,,
142966,20050420,0,Wed,NYN,NL,15,FLO,NL,15,2,9,51,N,,,,MIA01,21339,,,
142967,20050420,0,Wed,MIL,NL,14,HOU,NL,14,1,6,51,N,,,,HOU03,26119,,,
142968,20050420,0,Wed,COL,NL,14,PHI,NL,15,7,4,54,N,,,,PHI13,25961,,,
142969,20050420,0,Wed,LAN,NL,14,SDN,NL,15,3,1,60,N,,,,SAN02,37054,,,
142970,20050420,0,Wed,ARI,NL,15,SFN,NL,14,2,1,54,N,,,,SFO03,36955,,,
142971,20050420,0,Wed,CHN,NL,15,SLN,NL,13,3,1,54,N,,,,STL09,44855,,,
142972,20050420,0,Wed,ATL,NL,15,WAS,NL,15,0,2,51,N,,,,WAS10,27374,,,
142973,20050421,0,Thu,CLE,AL,16,ANA,AL,16,5,6,57,N,,,,ANA01,39673,,,
142974,20050421,0,Thu,BOS,AL,16,BAL,AL,16,1,0,54,N,,,,BAL12,40419,,,
142975,20050421,0,Thu,CHA,AL,16,DET,AL,16,4,3,54,D,,,,DET05,19334,,,
142976,20050421,0,Thu,KCA,AL,16,MIN,AL,16,9,10,58,D,,,,MIN03,15914,,,
142977,20050421,0,Thu,OAK,AL,16,SEA,AL,16,3,0,54,N,,,,SEA03,22428,,,
142978,20050421,0,Thu,TEX,AL,17,TBA,AL,16,2,3,51,N,,,,STP01,8799,,,
142979,20050421,0,Thu,NYA,AL,16,TOR,AL,17,4,3,54,N,,,,TOR02,23178,,,
142980,20050421,0,Thu,PIT,NL,16,CIN,NL,15,4,2,54,D,,,,CIN09,16218,,,
142981,20050421,0,Thu,NYN,NL,16,FLO,NL,16,10,1,54,N,,,,MIA01,27674,,,
142982,20050421,0,Thu,MIL,NL,15,HOU,NL,15,7,8,51,N,,,,HOU03,32173,,,
142983,20050421,0,Thu,COL,NL,15,PHI,NL,16,3,6,51,D,,,,PHI13,21749,,,
142984,20050421,0,Thu,LAN,NL,15,SDN,NL,16,1,6,51,N,,,,SAN02,42326,,,
142985,20050421,0,Thu,ARI,NL,16,SFN,NL,15,3,4,75,N,,,,SFO03,34824,,,
142986,20050421,0,Thu,CHN,NL,16,SLN,NL,14,0,4,51,D,,,,STL09,46119,,,
142987,20050421,0,Thu,ATL,NL,16,WAS,NL,16,2,1,54,D,,,,WAS10,30728,,,
142988,20050422,0,Fri,OAK,AL,17,ANA,AL,17,4,3,54,N,,,,ANA01,43810,,,
142989,20050422,0,Fri,MIN,AL,17,DET,AL,17,4,5,57,N,,,,DET05,18873,,,
142990,20050422,0,Fri,CHA,AL,17,KCA,AL,17,8,2,54,N,,,,KAN06,15832,,,
142991,20050422,0,Fri,TEX,AL,18,NYA,AL,17,5,3,54,N,,,,NYC16,42710,,,
142992,20050422,0,Fri,CLE,AL,17,SEA,AL,17,6,1,54,N,,,,SEA03,43207,,,
142993,20050422,0,Fri,BOS,AL,17,TBA,AL,17,4,5,51,N,,,,STP01,30530,,,
142994,20050422,0,Fri,BAL,AL,17,TOR,AL,18,13,5,54,N,,,,TOR02,18095,,,
142995,20050422,0,Fri,SDN,NL,17,ARI,NL,17,3,5,51,N,,,,PHO01,26407,,,
142996,20050422,0,Fri,PHI,NL,17,ATL,NL,17,2,6,51,N,,,,ATL02,26837,,,
142997,20050422,0,Fri,LAN,NL,16,COL,NL,16,1,9,51,N,,,,DEN02,20321,,,
142998,20050422,0,Fri,CIN,NL,16,FLO,NL,17,2,4,51,N,,,,MIA01,30519,,,
142999,20050422,0,Fri,WAS,NL,17,NYN,NL,17,1,3,51,N,,,,NYC17,28488,,,
143000,20050422,0,Fri,MIL,NL,16,SFN,NL,16,6,1,54,N,,,,SFO03,36994,,,
143001,20050422,0,Fri,HOU,NL,16,SLN,NL,15,7,8,51,N,,,,STL09,44805,,,
143002,20050423,0,Sat,OAK,AL,18,ANA,AL,18,5,9,51,N,,,,ANA01,43880,,,
143003,20050423,0,Sat,CHA,AL,18,KCA,AL,18,3,2,60,N,,,,KAN06,19641,,,
143004,20050423,0,Sat,TEX,AL,19,NYA,AL,18,10,2,54,D,,,,NYC16,44731,,,
143005,20050423,0,Sat,CLE,AL,18,SEA,AL,18,5,2,54,N,,,,SEA03,33564,,,
143006,20050423,0,Sat,BOS,AL,18,TBA,AL,18,5,6,51,N,,,,STP01,33220,,,
143007,20050423,0,Sat,BAL,AL,18,TOR,AL,19,4,1,54,D,,,,TOR02,20051,,,
143008,20050423,0,Sat,SDN,NL,18,ARI,NL,18,1,2,53,N,,,,PHO01,30760,,,
143009,20050423,0,Sat,PHI,NL,18,ATL,NL,18,1,11,51,N,,,,ATL02,31656,,,
143010,20050423,0,Sat,PIT,NL,17,CHN,NL,17,4,3,54,D,,,,CHI11,37695,,,
143011,20050423,0,Sat,LAN,NL,17,COL,NL,17,6,8,51,N,,,,DEN02,30272,,,
143012,20050423,0,Sat,CIN,NL,17,FLO,NL,18,2,4,51,D,,,,MIA01,23623,,,
