Team,Year,Wins,MadePlayoffs,DivisionWinner
Phillies,2011,102,1,1
Marlins,2011,72,0,0
Mets,2011,77,0,0
Nationals,2011,80,0,0
Cardinals,2011,90,1,0
Astros,2011,56,0,0
Brewers,2011,96,1,1
Cubs,2011,71,0,0
Reds,2011,79,0,0
Pirates,2011,72,0,0
Padres,2011,71,0,0
Diamondbacks,2011,94,1,1
Giants,2011,86,0,0
Dodgers,2011,82,0,0
Rockies,2011,73,0,0
Yankees,2012,95,1,1
Red Sox,2012,69,0,0
Blue Jays,2012,73,0,0
Orioles,2012,93,1,0
Rays,2012,90,0,0
White Sox,2012,85,0,0
Indians,2012,68,0,0
Twins,2012,66,0,0
Tigers,2012,88,1,1
Royals,2012,72,0,0
Angels,2012,89,0,0
Athletics,2012,94,1,1
Rangers,2012,93,1,0
Mariners,2012,75,0,0
Braves,2012,94,1,0
Phillies,2012,81,0,0
Marlins,2012,69,0,0
Mets,2012,74,0,0
Nationals,2012,98,1,1
Cardinals,2012,88,1,0
Astros,2012,55,0,0
Brewers,2012,83,0,0
Cubs,2012,61,0,0
Reds,2012,97,1,1
Pirates,2012,79,0,0
Padres,2012,76,0,0
Diamondbacks,2012,81,0,0
Giants,2012,94,1,1
Dodgers,2012,86,0,0
Rockies,2012,64,0,0
Yankees,2013,85,0,0
Red Sox,2013,97,1,1
Blue Jays,2013,74,0,0
Orioles,2013,85,0,0
Rays,2013,92,1,0
White Sox,2013,63,0,0
Indians,2013,92,1,0
Twins,2013,66,0,0
Tigers,2013,93,1,1
Royals,2013,86,0,0
Angels,2013,78,0,0
Athletics,2013,96,1,1
Rangers,2013,91,0,0
Mariners,2013,71,0,0
Braves,2013,96,1,1
Phillies,2013,73,0,0
Marlins,2013,62,0,0
Mets,2013,74,0,0
Nationals,2013,86,0,0
Cardinals,2013,97,1,1
Astros,2013,51,0,0
Brewers,2013,74,0,0
Cubs,2013,66,0,0
Reds,2013,90,1,0
Pirates,2013,94,1,0
Padres,2013,76,0,0
Diamondbacks,2013,81,0,0
Giants,2013,76,0,0
Dodgers,2013,92,1,1
Rockies,2013,74,0,0
Yankees,2014,84,0,0
Red Sox,2014,71,0,0
Blue Jays,2014,83,0,0
Orioles,2014,96,1,1
Rays,2014,77,0,0
White Sox,2014,73,0,0
Indians,2014,85,0,0
Twins,2014,70,0,0
Tigers,2014,90,1,1
Royals,2014,89,1,0
Angels,2014,98,1,1
Athletics,2014,88,1,0
Rangers,2014,67,0,0
Mariners,2014,87,0,0
Braves,2014,79,0,0
Phillies,2014,73,0,0
Marlins,2014,77,0,0
Mets,2014,79,0,0
Nationals,2014,96,1,1
Cardinals,2014,90,1,1
Astros,2014,70,0,0
Brewers,2014,82,0,0
Cubs,2014,73,0,0
Reds,2014,76,0,0
Pirates,2014,88,1,0
Padres,2014,77,0,0
Diamondbacks,2014,64,0,0
Giants,2014,88,1,0
Dodgers,2014,94,1,1
Rockies,2014,66,0,0
Yankees,2015,87,1,0
Red Sox,2015,78,0,0
Blue Jays,2015,93,1,1
Orioles,2015,81,0,0
Rays,2015,80,0,0
White Sox,2015,76,0,0
Indians,2015,81,0,0
Twins,2015,83,0,0
Tigers,2015,74,0,0
Royals,2015,95,1,1
Angels,2015,85,0,0
Athletics,2015,68,0,0
Rangers,2015,88,1,1
Mariners,2015,76,0,0
Braves,2015,67,0,0
Phillies,2015,63,0,0
Marlins,2015,71,0,0
Mets,2015,90,1,1
Nationals,2015,83,0,0
Cardinals,2015,100,1,1
Astros,2015,86,1,0
Brewers,2015,68,0,0
Cubs,2015,97,1,0
Reds,2015,64,0,0
Pirates,2015,98,1,0
Padres,2015,74,0,0
Diamondbacks,2015,79,0,0
Giants,2015,84,0,0
Dodgers,2015,92,1,1
Rockies,2015,68,0,0
Yankees,2016,84,0,0
Red Sox,2016,93,1,1
Blue Jays,2016,89,1,0
Orioles,2016,89,1,0
Rays,2016,68,0,0
White Sox,2016,78,0,0
Indians,2016,94,1,1
Twins,2016,59,0,0
Tigers,2016,86,0,0
Royals,2016,81,0,0
Angels,2016,74,0,0
Athletics,2016,69,0,0
Rangers,2016,95,1,1
Mariners,2016,86,0,0
Braves,2016,68,0,0
Phillies,2016,71,0,0
Marlins,2016,79,0,0
Mets,2016,87,1,0
Nationals,2016,95,1,1
Cardinals,2016,86,0,0
Astros,2016,84,0,0
Brewers,2016,73,0,0
Cubs,2016,103,1,1
Reds,2016,68,0,0
Pirates,2016,78,0,0
Padres,2016,68,0,0
Diamondbacks,2016,69,0,0
Giants,2016,87,1,0
Dodgers,2016,91,1,1
Rockies,2016,75,0,0
Yankees,2004,101,1,1
Red Sox,2004,98,1,0
Blue Jays,2004,67,0,0
Orioles,2004,78,0,0
Rays,2004,70,0,0
White Sox,2004,83,0,0
Indians,2004,80,0,0
Twins,2004,92,1,1
Tigers,2004,72,0,0
Royals,2004,58,0,0
Angels,2004,92,1,1
Athletics,2004,91,0,0
Rangers,2004,89,0,0
Mariners,2004,63,0,0
Braves,2004,96,1,1
Phillies,2004,86,0,0
Marlins,2004,83,0,0
Mets,2004,71,0,0
Nationals,2004,67,0,0
Cardinals,2004,105,1,1
Astros,2004,92,1,0
Brewers,2004,67,0,0
Cubs,2004,89,0,0
Reds,2004,76,0,0
Pirates,2004,72,0,0
Padres,2004,87,0,0
Diamondbacks,2004,51,0,0
Giants,2004,91,0,0
Dodgers,2004,93,1,1
Rockies,2004,68,0,0
